Using Fixed-Point.
t=0.100, dt=0.1, MaxDpr=658.406, MaxDsw=0.00311111, Qo=346.53, Qw=0.00, Gauss=3
t=0.200, dt=0.1, MaxDpr=1.7651, MaxDsw=0.00311111, Qo=346.53, Qw=0.00, Gauss=9
t=0.300, dt=0.1, MaxDpr=1.80806, MaxDsw=0.0031111, Qo=346.53, Qw=0.00, Gauss=15
t=0.400, dt=0.1, MaxDpr=1.852, MaxDsw=0.00311108, Qo=346.53, Qw=0.00, Gauss=21
t=0.500, dt=0.1, MaxDpr=1.89682, MaxDsw=0.00311102, Qo=346.53, Qw=0.00, Gauss=27
t=0.600, dt=0.1, MaxDpr=1.94238, MaxDsw=0.00311093, Qo=346.53, Qw=0.00, Gauss=33
t=0.700, dt=0.1, MaxDpr=1.98849, MaxDsw=0.00311076, Qo=346.53, Qw=0.00, Gauss=39
t=0.800, dt=0.1, MaxDpr=2.03497, MaxDsw=0.0031105, Qo=346.53, Qw=0.00, Gauss=45
t=0.900, dt=0.1, MaxDpr=2.08156, MaxDsw=0.00311012, Qo=346.53, Qw=0.00, Gauss=51
t=1.000, dt=0.1, MaxDpr=2.12798, MaxDsw=0.00310956, Qo=346.53, Qw=0.00, Gauss=57
t=1.100, dt=0.1, MaxDpr=2.17388, MaxDsw=0.0031088, Qo=346.53, Qw=0.00, Gauss=63
t=1.200, dt=0.1, MaxDpr=2.21888, MaxDsw=0.00310777, Qo=346.53, Qw=0.00, Gauss=69
t=1.300, dt=0.1, MaxDpr=2.26251, MaxDsw=0.00310642, Qo=346.53, Qw=0.00, Gauss=75
t=1.400, dt=0.1, MaxDpr=2.30427, MaxDsw=0.00310468, Qo=346.53, Qw=0.00, Gauss=81
t=1.500, dt=0.1, MaxDpr=2.34358, MaxDsw=0.00310247, Qo=346.53, Qw=0.00, Gauss=87
t=1.600, dt=0.1, MaxDpr=2.37977, MaxDsw=0.00309971, Qo=346.53, Qw=0.00, Gauss=93
t=1.700, dt=0.1, MaxDpr=2.41213, MaxDsw=0.00309631, Qo=346.53, Qw=0.00, Gauss=99
t=1.800, dt=0.1, MaxDpr=2.43987, MaxDsw=0.00309217, Qo=346.53, Qw=0.00, Gauss=105
t=1.900, dt=0.1, MaxDpr=2.46211, MaxDsw=0.00308717, Qo=346.53, Qw=0.00, Gauss=111
t=2.000, dt=0.1, MaxDpr=2.47794, MaxDsw=0.0030812, Qo=346.53, Qw=0.00, Gauss=117
t=2.100, dt=0.1, MaxDpr=2.48638, MaxDsw=0.00307414, Qo=346.53, Qw=0.00, Gauss=123
t=2.200, dt=0.1, MaxDpr=2.48641, MaxDsw=0.00306586, Qo=346.53, Qw=0.00, Gauss=129
t=2.300, dt=0.1, MaxDpr=2.47701, MaxDsw=0.00305621, Qo=346.53, Qw=0.00, Gauss=135
t=2.400, dt=0.1, MaxDpr=2.45713, MaxDsw=0.00304507, Qo=346.53, Qw=0.00, Gauss=142
t=2.500, dt=0.1, MaxDpr=2.4258, MaxDsw=0.0030323, Qo=346.53, Qw=0.00, Gauss=149
t=2.600, dt=0.1, MaxDpr=2.38209, MaxDsw=0.00301775, Qo=346.53, Qw=0.00, Gauss=156
t=2.700, dt=0.1, MaxDpr=2.32517, MaxDsw=0.0030013, Qo=346.53, Qw=0.00, Gauss=163
t=2.800, dt=0.1, MaxDpr=2.25447, MaxDsw=0.00298282, Qo=346.53, Qw=0.00, Gauss=171
t=2.900, dt=0.1, MaxDpr=2.16931, MaxDsw=0.00296221, Qo=346.53, Qw=0.00, Gauss=179
t=3.000, dt=0.1, MaxDpr=2.06965, MaxDsw=0.00293935, Qo=346.53, Qw=0.00, Gauss=187
t=3.100, dt=0.1, MaxDpr=1.95548, MaxDsw=0.00291419, Qo=346.53, Qw=0.00, Gauss=195
t=3.200, dt=0.1, MaxDpr=1.82714, MaxDsw=0.00288665, Qo=346.53, Qw=0.00, Gauss=203
t=3.300, dt=0.1, MaxDpr=1.68531, MaxDsw=0.00285672, Qo=346.53, Qw=0.00, Gauss=211
t=3.400, dt=0.1, MaxDpr=1.53102, MaxDsw=0.00282439, Qo=346.53, Qw=0.00, Gauss=219
t=3.500, dt=0.1, MaxDpr=1.36546, MaxDsw=0.00278969, Qo=346.53, Qw=0.00, Gauss=226
t=3.600, dt=0.1, MaxDpr=1.1907, MaxDsw=0.00275268, Qo=346.53, Qw=0.00, Gauss=233
t=3.700, dt=0.1, MaxDpr=1.00823, MaxDsw=0.00271345, Qo=346.53, Qw=0.00, Gauss=239
t=3.820, dt=0.12, MaxDpr=0.960997, MaxDsw=0.00319645, Qo=346.53, Qw=0.00, Gauss=242
t=3.964, dt=0.144, MaxDpr=0.790633, MaxDsw=0.00374475, Qo=346.53, Qw=0.00, Gauss=246
t=4.137, dt=0.1728, MaxDpr=0.431873, MaxDsw=0.00435547, Qo=346.53, Qw=0.00, Gauss=250
t=4.240, dt=0.10368, MaxDpr=0.0968781, MaxDsw=0.00256122, Qo=346.53, Qw=0.00, Gauss=258
t=4.365, dt=0.124416, MaxDpr=0.259382, MaxDsw=0.00299681, Qo=346.53, Qw=0.00, Gauss=262
t=4.514, dt=0.149299, MaxDpr=0.646653, MaxDsw=0.0034838, Qo=346.53, Qw=0.00, Gauss=266
t=4.614, dt=0.1, MaxDpr=0.629439, MaxDsw=0.00228217, Qo=346.53, Qw=0.00, Gauss=274
t=4.734, dt=0.12, MaxDpr=0.936619, MaxDsw=0.00266461, Qo=346.53, Qw=0.00, Gauss=278
t=4.834, dt=0.1, MaxDpr=0.92267, MaxDsw=0.00216903, Qo=346.53, Qw=0.00, Gauss=286
t=4.934, dt=0.1, MaxDpr=1.03591, MaxDsw=0.00211776, Qo=346.53, Qw=0.00, Gauss=294
t=5.034, dt=0.1, MaxDpr=1.13626, MaxDsw=0.00206688, Qo=346.53, Qw=0.00, Gauss=302
t=5.134, dt=0.1, MaxDpr=1.22388, MaxDsw=0.00201655, Qo=346.53, Qw=0.00, Gauss=310
t=5.234, dt=0.1, MaxDpr=1.29909, MaxDsw=0.00196691, Qo=346.53, Qw=0.00, Gauss=318
t=5.334, dt=0.1, MaxDpr=1.36239, MaxDsw=0.00191808, Qo=346.53, Qw=0.00, Gauss=326
t=5.434, dt=0.1, MaxDpr=1.41438, MaxDsw=0.00187015, Qo=346.53, Qw=0.00, Gauss=334
t=5.534, dt=0.1, MaxDpr=1.45579, MaxDsw=0.00182323, Qo=346.53, Qw=0.00, Gauss=342
t=5.634, dt=0.1, MaxDpr=1.48735, MaxDsw=0.00177737, Qo=346.53, Qw=0.00, Gauss=350
t=5.734, dt=0.1, MaxDpr=1.50987, MaxDsw=0.00173263, Qo=346.53, Qw=0.00, Gauss=358
t=5.834, dt=0.1, MaxDpr=1.52416, MaxDsw=0.00168905, Qo=346.53, Qw=0.00, Gauss=366
t=5.934, dt=0.1, MaxDpr=1.53099, MaxDsw=0.00164667, Qo=346.53, Qw=0.00, Gauss=374
t=6.034, dt=0.1, MaxDpr=1.53116, MaxDsw=0.0016055, Qo=346.53, Qw=0.00, Gauss=382
t=6.134, dt=0.1, MaxDpr=1.5254, MaxDsw=0.00156555, Qo=346.53, Qw=0.00, Gauss=390
t=6.234, dt=0.1, MaxDpr=1.51441, MaxDsw=0.00152682, Qo=346.53, Qw=0.00, Gauss=398
t=6.334, dt=0.1, MaxDpr=1.49885, MaxDsw=0.0014893, Qo=346.53, Qw=0.00, Gauss=406
t=6.434, dt=0.1, MaxDpr=1.47933, MaxDsw=0.00145298, Qo=346.53, Qw=0.00, Gauss=414
t=6.534, dt=0.1, MaxDpr=1.45639, MaxDsw=0.00141785, Qo=346.53, Qw=0.00, Gauss=422
t=6.634, dt=0.1, MaxDpr=1.43056, MaxDsw=0.00138387, Qo=346.53, Qw=0.00, Gauss=430
t=6.734, dt=0.1, MaxDpr=1.40228, MaxDsw=0.00135103, Qo=346.53, Qw=0.00, Gauss=438
t=6.834, dt=0.1, MaxDpr=1.37197, MaxDsw=0.0013193, Qo=346.53, Qw=0.00, Gauss=446
t=6.934, dt=0.1, MaxDpr=1.34, MaxDsw=0.00128864, Qo=346.53, Qw=0.00, Gauss=454
t=7.034, dt=0.1, MaxDpr=1.3067, MaxDsw=0.00125903, Qo=346.53, Qw=0.00, Gauss=462
t=7.134, dt=0.1, MaxDpr=1.27236, MaxDsw=0.00123043, Qo=346.53, Qw=0.00, Gauss=470
t=7.234, dt=0.1, MaxDpr=1.23723, MaxDsw=0.00120282, Qo=346.53, Qw=0.00, Gauss=478
t=7.334, dt=0.1, MaxDpr=1.20155, MaxDsw=0.00117615, Qo=346.53, Qw=0.00, Gauss=486
t=7.434, dt=0.1, MaxDpr=1.1655, MaxDsw=0.00115039, Qo=346.53, Qw=0.00, Gauss=494
t=7.534, dt=0.1, MaxDpr=1.12925, MaxDsw=0.00112552, Qo=346.53, Qw=0.00, Gauss=502
t=7.634, dt=0.1, MaxDpr=1.09296, MaxDsw=0.0011015, Qo=346.53, Qw=0.00, Gauss=510
t=7.734, dt=0.1, MaxDpr=1.05675, MaxDsw=0.00107829, Qo=346.53, Qw=0.00, Gauss=518
t=7.834, dt=0.1, MaxDpr=1.02073, MaxDsw=0.00105587, Qo=346.53, Qw=0.00, Gauss=526
t=7.934, dt=0.1, MaxDpr=0.984996, MaxDsw=0.00103774, Qo=346.53, Qw=0.00, Gauss=534
t=8.034, dt=0.1, MaxDpr=0.949618, MaxDsw=0.00104811, Qo=346.53, Qw=0.00, Gauss=542
t=8.134, dt=0.1, MaxDpr=0.914666, MaxDsw=0.0010581, Qo=346.53, Qw=0.00, Gauss=550
t=8.234, dt=0.1, MaxDpr=0.880197, MaxDsw=0.00106775, Qo=346.53, Qw=0.00, Gauss=558
t=8.334, dt=0.1, MaxDpr=0.846256, MaxDsw=0.00107707, Qo=346.53, Qw=0.00, Gauss=566
t=8.454, dt=0.12, MaxDpr=0.968397, MaxDsw=0.00130535, Qo=346.53, Qw=0.00, Gauss=570
t=8.554, dt=0.1, MaxDpr=0.773675, MaxDsw=0.0010964, Qo=346.53, Qw=0.00, Gauss=578
t=8.674, dt=0.12, MaxDpr=0.88332, MaxDsw=0.00132757, Qo=346.53, Qw=0.00, Gauss=582
t=8.818, dt=0.144, MaxDpr=0.996994, MaxDsw=0.00160937, Qo=346.53, Qw=0.00, Gauss=586
t=8.918, dt=0.1, MaxDpr=0.660409, MaxDsw=0.00112517, Qo=346.53, Qw=0.00, Gauss=594
t=9.038, dt=0.12, MaxDpr=0.750939, MaxDsw=0.00136062, Qo=346.53, Qw=0.00, Gauss=598
t=9.182, dt=0.144, MaxDpr=0.843228, MaxDsw=0.001647, Qo=346.53, Qw=0.00, Gauss=602
t=9.355, dt=0.1728, MaxDpr=0.931893, MaxDsw=0.00199569, Qo=346.53, Qw=0.00, Gauss=606
t=9.459, dt=0.10368, MaxDpr=0.527739, MaxDsw=0.00120404, Qo=346.53, Qw=0.00, Gauss=614
t=9.583, dt=0.124416, MaxDpr=0.594412, MaxDsw=0.00145395, Qo=346.53, Qw=0.00, Gauss=618
t=9.732, dt=0.149299, MaxDpr=0.700676, MaxDsw=0.00175712, Qo=346.53, Qw=0.00, Gauss=622
t=9.912, dt=0.179159, MaxDpr=0.854724, MaxDsw=0.00212513, Qo=346.53, Qw=0.00, Gauss=626
t=10.019, dt=0.107495, MaxDpr=0.518668, MaxDsw=0.00128072, Qo=346.53, Qw=0.00, Gauss=634
t=10.148, dt=0.128995, MaxDpr=0.62885, MaxDsw=0.00154454, Qo=346.53, Qw=0.00, Gauss=638
t=10.303, dt=0.154793, MaxDpr=0.763286, MaxDsw=0.00186375, Qo=346.53, Qw=0.00, Gauss=642
t=10.489, dt=0.185752, MaxDpr=0.927238, MaxDsw=0.00225005, Qo=346.53, Qw=0.00, Gauss=646
t=10.600, dt=0.111451, MaxDpr=0.560722, MaxDsw=0.00135455, Qo=346.53, Qw=0.00, Gauss=654
t=10.734, dt=0.133742, MaxDpr=0.677495, MaxDsw=0.00163148, Qo=346.53, Qw=0.00, Gauss=658
t=10.894, dt=0.16049, MaxDpr=0.818694, MaxDsw=0.00196563, Qo=346.53, Qw=0.00, Gauss=662
t=11.087, dt=0.192588, MaxDpr=0.988818, MaxDsw=0.00236863, Qo=346.53, Qw=0.00, Gauss=666
t=11.202, dt=0.115553, MaxDpr=0.594952, MaxDsw=0.00142432, Qo=346.53, Qw=0.00, Gauss=674
t=11.341, dt=0.138663, MaxDpr=0.71536, MaxDsw=0.00171317, Qo=346.53, Qw=0.00, Gauss=678
t=11.507, dt=0.166396, MaxDpr=0.859023, MaxDsw=0.00206058, Qo=346.53, Qw=0.00, Gauss=682
t=11.607, dt=0.1, MaxDpr=0.51542, MaxDsw=0.0012398, Qo=346.53, Qw=0.00, Gauss=689
t=11.727, dt=0.12, MaxDpr=0.617279, MaxDsw=0.00148948, Qo=346.53, Qw=0.00, Gauss=693
t=11.871, dt=0.144, MaxDpr=0.737964, MaxDsw=0.00178921, Qo=346.53, Qw=0.00, Gauss=697
t=12.044, dt=0.1728, MaxDpr=0.879535, MaxDsw=0.00214855, Qo=346.53, Qw=0.00, Gauss=701
t=12.148, dt=0.10368, MaxDpr=0.523315, MaxDsw=0.00128934, Qo=346.53, Qw=0.00, Gauss=708
t=12.272, dt=0.124416, MaxDpr=0.622813, MaxDsw=0.00154706, Qo=346.53, Qw=0.00, Gauss=712
t=12.422, dt=0.149299, MaxDpr=0.738584, MaxDsw=0.00185552, Qo=346.53, Qw=0.00, Gauss=716
t=12.601, dt=0.179159, MaxDpr=0.871054, MaxDsw=0.0022239, Qo=346.53, Qw=0.00, Gauss=720
t=12.708, dt=0.107495, MaxDpr=0.5133, MaxDsw=0.00133295, Qo=346.53, Qw=0.00, Gauss=727
t=12.837, dt=0.128995, MaxDpr=0.605532, MaxDsw=0.00159703, Qo=346.53, Qw=0.00, Gauss=730
t=12.992, dt=0.154793, MaxDpr=0.709872, MaxDsw=0.00191193, Qo=346.53, Qw=0.00, Gauss=734
t=13.178, dt=0.185752, MaxDpr=0.824784, MaxDsw=0.00228626, Qo=346.53, Qw=0.00, Gauss=738
t=13.401, dt=0.222903, MaxDpr=0.945611, MaxDsw=0.00272921, Qo=346.53, Qw=0.00, Gauss=742
t=13.535, dt=0.133742, MaxDpr=0.54195, MaxDsw=0.00163153, Qo=346.53, Qw=0.00, Gauss=749
t=13.695, dt=0.16049, MaxDpr=0.62263, MaxDsw=0.00194817, Qo=346.53, Qw=0.00, Gauss=753
t=13.888, dt=0.192588, MaxDpr=0.704343, MaxDsw=0.00232214, Qo=346.53, Qw=0.00, Gauss=757
t=14.119, dt=0.231105, MaxDpr=0.778799, MaxDsw=0.00276103, Qo=346.53, Qw=0.00, Gauss=761
t=14.396, dt=0.277326, MaxDpr=0.831741, MaxDsw=0.00327144, Qo=346.53, Qw=0.00, Gauss=765
t=14.729, dt=0.332792, MaxDpr=0.84013, MaxDsw=0.00385729, Qo=346.53, Qw=0.00, Gauss=769
t=15.128, dt=0.39935, MaxDpr=0.769578, MaxDsw=0.00451714, Qo=346.53, Qw=0.00, Gauss=773
t=15.368, dt=0.23961, MaxDpr=0.480621, MaxDsw=0.00266613, Qo=346.53, Qw=0.00, Gauss=781
t=15.655, dt=0.287532, MaxDpr=0.667105, MaxDsw=0.00313191, Qo=346.53, Qw=0.00, Gauss=785
t=16.000, dt=0.345038, MaxDpr=0.928639, MaxDsw=0.00365555, Qo=346.53, Qw=0.00, Gauss=789
t=16.207, dt=0.207023, MaxDpr=0.630479, MaxDsw=0.0021546, Qo=346.53, Qw=0.00, Gauss=797
t=16.456, dt=0.248428, MaxDpr=0.817401, MaxDsw=0.00252838, Qo=346.53, Qw=0.00, Gauss=801
t=16.605, dt=0.149057, MaxDpr=0.525427, MaxDsw=0.00149599, Qo=346.53, Qw=0.00, Gauss=809
t=16.784, dt=0.178868, MaxDpr=0.658249, MaxDsw=0.00176459, Qo=346.53, Qw=0.00, Gauss=813
t=16.998, dt=0.214641, MaxDpr=0.826509, MaxDsw=0.00207309, Qo=346.53, Qw=0.00, Gauss=817
t=17.127, dt=0.128785, MaxDpr=0.517571, MaxDsw=0.0012277, Qo=346.53, Qw=0.00, Gauss=824
t=17.282, dt=0.154542, MaxDpr=0.637118, MaxDsw=0.00144995, Qo=346.53, Qw=0.00, Gauss=828
t=17.467, dt=0.18545, MaxDpr=0.784642, MaxDsw=0.00170642, Qo=346.53, Qw=0.00, Gauss=832
t=17.690, dt=0.22254, MaxDpr=0.966509, MaxDsw=0.00199964, Qo=346.53, Qw=0.00, Gauss=836
t=17.823, dt=0.133524, MaxDpr=0.596116, MaxDsw=0.00118247, Qo=346.53, Qw=0.00, Gauss=844
t=17.983, dt=0.160229, MaxDpr=0.724403, MaxDsw=0.0013942, Qo=346.53, Qw=0.00, Gauss=848
t=18.176, dt=0.192275, MaxDpr=0.879669, MaxDsw=0.00163773, Qo=346.53, Qw=0.00, Gauss=852
t=18.291, dt=0.115365, MaxDpr=0.53598, MaxDsw=0.000969983, Qo=346.53, Qw=0.00, Gauss=859
t=18.429, dt=0.138438, MaxDpr=0.646453, MaxDsw=0.00114592, Qo=346.53, Qw=0.00, Gauss=863
t=18.596, dt=0.166125, MaxDpr=0.778389, MaxDsw=0.00134944, Qo=346.53, Qw=0.00, Gauss=867
t=18.795, dt=0.199351, MaxDpr=0.935554, MaxDsw=0.00158298, Qo=346.53, Qw=0.00, Gauss=871
t=18.915, dt=0.11961, MaxDpr=0.5655, MaxDsw=0.000936827, Qo=346.53, Qw=0.00, Gauss=879
t=19.058, dt=0.143532, MaxDpr=0.677143, MaxDsw=0.00110578, Qo=346.53, Qw=0.00, Gauss=883
t=19.230, dt=0.172239, MaxDpr=0.809085, MaxDsw=0.0013009, Qo=346.53, Qw=0.00, Gauss=887
t=19.437, dt=0.206687, MaxDpr=0.9637, MaxDsw=0.00152441, Qo=346.53, Qw=0.00, Gauss=891
t=19.561, dt=0.124012, MaxDpr=0.578358, MaxDsw=0.000901627, Qo=346.53, Qw=0.00, Gauss=899
t=19.710, dt=0.148814, MaxDpr=0.688389, MaxDsw=0.00106353, Qo=346.53, Qw=0.00, Gauss=903
